initials,site,replicate,plankton_slide,drops,plankton_drop,plankton_ml,plankton_bottle,water_column,plankton_ml_ocean
EH,1,1,76,2,38,760,190000,235500,0.8067940552
EH,1,2,40,2,20,400,100000,235500,0.4246284501
EH,1,3,56,2,28,560,140000,235500,0.5944798301
EH,2,1,27,2,13.5,270,67500,235500,0.2866242038
EH,2,2,28,2,14,280,70000,235500,0.2972399151
EH,2,3,24,2,12,240,60000,235500,0.2547770701
RAG,1,1,30,3,10,200,50000,235500,0.2123142251
RAG,1,2,69,3,23,460,115000,235500,0.4883227176
RAG,1,3,8,3,2.666666667,53.33333333,13333.33333,235500,0.05661712668
RAG,2,1,16,3,5.333333333,106.6666667,26666.66667,235500,0.1132342534
RAG,2,2,24,3,8,160,40000,235500,0.16985138
RAG,2,3,30,3,10,200,50000,235500,0.2123142251
MR,1,1,100,3,33.33333333,666.6666667,166666.6667,235500,0.7077140835
MR,1,2,111,3,37,740,185000,235500,0.7855626327
MR,1,3,46,3,15.33333333,306.6666667,76666.66667,235500,0.3255484784
MR,2,1,26,3,8.666666667,173.3333333,43333.33333,235500,0.1840056617
MR,2,2,54,3,18,360,90000,235500,0.3821656051
MR,2,3,15,3,5,100,25000,235500,0.1061571125
LH,1,1,85,3,28.33333333,566.6666667,141666.6667,235500,0.601556971
LH,1,2,74,3,24.66666667,493.3333333,123333.3333,235500,0.5237084218
LH,1,3,57,3,19,380,95000,235500,0.4033970276
LH,2,1,25,3,8.333333333,166.6666667,41666.66667,235500,0.1769285209
LH,2,2,24,3,8,160,40000,235500,0.16985138
LH,2,3,13,3,4.333333333,86.66666667,21666.66667,235500,0.09200283086
IE,1,1,21,1,21,420,105000,235500,0.4458598726
IE,1,2,54,1,54,1080,270000,235500,1.146496815
IE,1,3,16,1,16,320,80000,235500,0.3397027601
IE,2,1,31,2,15.5,310,77500,235500,0.3290870488
IE,2,2,29,2,14.5,290,72500,235500,0.3078556263
IE,2,3,26,2,13,260,65000,235500,0.2760084926
SS,1,1,26,1,26,520,130000,235500,0.5520169851
SS,1,2,46,1,46,920,230000,235500,0.9766454352
SS,1,3,21,1,21,420,105000,235500,0.4458598726
SS,2,1,16,1,16,320,80000,235500,0.3397027601
SS,2,2,42,1,42,840,210000,235500,0.8917197452
SS,2,3,15,1,15,300,75000,235500,0.3184713376